review,date,Marca,Produto,loja,estrelas,gptpt,descricaoGptpt,url
"Cerveva boa, paladar diferenciado.",2024-03-20,Colorado,Colorado Appia,Mercado Livre,4.9,1,"A avaliação descreve a cerveja como boa e com um paladar diferenciado, o que indica uma experiência positiva com o produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
"Cerveja muito boa, porém comparado a garrafa de vidro é um pouco melhor.",2024-02-22,Colorado,Colorado Appia,Mercado Livre,4.9,0,"A avaliação apresenta uma opinião positiva inicial sobre a cerveja, mas em seguida faz uma comparação com a garrafa de vidro, indicando que esta é um pouco melhor. Essa comparação neutra não indica uma avaliação totalmente positiva ou negativa, resultando em uma classificação neutra.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Muito boa recomendo.,2024-02-20,Colorado,Colorado Appia,Mercado Livre,4.9,1,A avaliação é claramente positiva ao afirmar que o produto é muito bom e recomendar sua utilização.,https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
"Cerveja ótima, depois que começa a comprar dela não quer mais saber de outra.",2024-02-17,Colorado,Colorado Appia,Mercado Livre,4.9,1,"A avaliação é claramente positiva, destacando a qualidade da cerveja e a fidelização do consumidor, indicando uma experiência satisfatória com o produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Achei doce alem da conta.,2023-09-28,Colorado,Colorado Appia,Mercado Livre,4.9,-1,"A avaliação menciona que o produto é doce além da conta, o que geralmente é considerado negativo em uma cerveja. Portanto, a classificação é negativa.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Sabor diferente do conteúdo vendido em garrafa de vidro.,2024-01-26,Colorado,Colorado Appia,Mercado Livre,4.9,0,"A avaliação menciona uma diferença de sabor em relação ao conteúdo vendido em garrafa de vidro, mas não expressa claramente se essa diferença é positiva ou negativa. Portanto, a classificação é neutra.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
A melhor.,2024-07-23,Heineken,Heineken,Mercado Livre,4.9,1,"A avaliação é claramente positiva ao afirmar que a Heineken é a melhor. Não há ironia, sarcasmo ou polarity shift, apenas uma opinião positiva direta.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19535785?noIndex=true&access=view_all&modal=true&controlled=true
"Considerada uma das melhores cervejas do mundo, a Heineken é reconhecida por seu sabor refrescante e equilíbrio entre o amargo do lúpulo e a cremosidade da espuma. A qualidade é consistentemente elogiada, e os consumidores apreciam a marca, especialmente quando encontram promoções ou bons preços.",2024-07-23,Heineken,Heineken,Mercado Livre,4.9,1,"A avaliação é claramente positiva, destacando a Heineken como uma das melhores cervejas do mundo, elogiando seu sabor refrescante, equilíbrio entre amargo e cremosidade, qualidade consistente e apreciação dos consumidores. A menção a promoções e bons preços também contribui para a percepção positiva do produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19535785?noIndex=true&access=view_all&modal=true&controlled=true
Desceu bem.,2024-07-23,Heineken,Heineken,Mercado Livre,4.9,1,"A avaliação Desceu bem. indica uma experiência positiva com a cerveja Heineken, pois o termo desceu bem geralmente é utilizado para expressar que a bebida foi agradável ao paladar e fácil de consumir.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19535785?noIndex=true&access=view_all&modal=true&controlled=true
Excelente.,2024-07-16,Heineken,Heineken,Mercado Livre,4.9,1,"A avaliação é claramente positiva ao utilizar a palavra excelente, indicando uma opinião favorável em relação ao produto Heineken.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19535785?noIndex=true&access=view_all&modal=true&controlled=true
"Produto dentro do especificado e já foi consumido, sua durabilidade depende da vontade kkkk.",2024-07-11,Heineken,Heineken,Mercado Livre,4.9,0,"A avaliação menciona que o produto está dentro do especificado e já foi consumido, porém de forma descontraída ao mencionar que a durabilidade depende da vontade. Não há uma clara indicação de opinião positiva ou negativa, sendo assim classificada como neutra.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19535785?noIndex=true&access=view_all&modal=true&controlled=true
Top.,2024-07-06,Heineken,Heineken,Mercado Livre,4.9,1,"A avaliação Top. é uma expressão curta e positiva, indicando que o produto é de alta qualidade ou está no topo em termos de preferência. Portanto, classificamos como uma avaliação positiva para a Heineken.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19535785?noIndex=true&access=view_all&modal=true&controlled=true
Muito bom.,2024-07-05,Heineken,Heineken,Mercado Livre,4.9,1,"A avaliação é claramente positiva ao afirmar que o produto é muito bom. Não há sarcasmo, ironia ou polarity shift, indicando uma opinião favorável em relação à cerveja Heineken.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19535785?noIndex=true&access=view_all&modal=true&controlled=true
Ótima.,2024-07-02,Heineken,Heineken,Mercado Livre,4.9,1,"A avaliação é claramente positiva ao utilizar o termo ótima, indicando uma experiência satisfatória com o produto Heineken.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19535785?noIndex=true&access=view_all&modal=true&controlled=true
Top demas.,2024-06-28,Heineken,Heineken,Mercado Livre,4.9,1,"A avaliação Top demas. indica uma opinião positiva sobre o produto Heineken, utilizando uma linguagem informal e elogiosa.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19535785?noIndex=true&access=view_all&modal=true&controlled=true
"A cerveja é amplamente elogiada por sua excelente qualidade e sabor delicioso, proporcionando momentos alegres e sendo considerada por muitos como a melhor bebida. O barril, além de funcional, é apreciado pelo seu design charmoso e prático para eventos.",2024-06-06,Heineken,Heineken Chopp,Mercado Livre,4.9,1,"A avaliação é extremamente positiva, destacando a excelente qualidade e sabor delicioso da cerveja Heineken, além de mencionar que é considerada por muitos como a melhor bebida. A menção ao barril funcional, com design charmoso e prático para eventos, reforça a imagem positiva do produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
Não deu nem tempo de tirar a foto 🤪.,2024-06-06,Heineken,Heineken Chopp,Mercado Livre,4.9,0,"A avaliação não expressa claramente uma opinião positiva ou negativa sobre a cerveja Heineken. A frase indica que a situação foi tão rápida que não deu tempo de tirar uma foto, o que não permite inferir uma avaliação direta sobre o produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
Excelente.,2024-06-05,Heineken,Heineken Chopp,Mercado Livre,4.9,1,"A avaliação é claramente positiva ao utilizar a palavra excelente, indicando uma opinião favorável em relação ao produto Heineken Chopp.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
Produto de excelente qualidade.,2023-01-19,Heineken,Heineken Chopp,Mercado Livre,4.9,1,"A avaliação descreve o produto como de excelente qualidade, o que indica uma opinião positiva sobre o Heineken Chopp.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
Excelente.,2024-06-26,Heineken,Heineken Chopp,Mercado Livre,4.9,1,"A avaliação é claramente positiva ao utilizar a palavra excelente, indicando uma opinião favorável em relação ao produto Heineken Chopp.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
Bom.,2024-07-02,Heineken,Heineken Chopp,Mercado Livre,4.9,0,"A avaliação é simples e direta, apenas afirmando Bom, sem indicar claramente se é positiva ou negativa. Portanto, é classificada como neutra.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
Muito bom produto.,2024-07-02,Heineken,Heineken Chopp,Mercado Livre,4.9,1,"A avaliação é claramente positiva ao afirmar que o produto é muito bom. Não há sarcasmo, ironia ou polarity shift, indicando uma opinião favorável em relação ao produto Heineken Chopp.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
Top de mas.,2024-06-28,Heineken,Heineken Chopp,Mercado Livre,4.9,1,"A expressão Top de mas indica uma avaliação positiva, sugerindo que o produto é excelente ou de alta qualidade.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
Otimo.,2024-06-27,Heineken,Heineken Chopp,Mercado Livre,4.9,1,"A avaliação é claramente positiva, pois a palavra ótimo indica uma opinião favorável em relação ao produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
"Muito boa , irei compra novamente.",2024-06-24,Heineken,Heineken Chopp,Mercado Livre,4.9,1,A avaliação é claramente positiva ao afirmar que o produto é muito bom e que a pessoa pretende comprá-lo novamente. Isso indica uma experiência satisfatória com o produto Heineken Chopp.,https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
Amei.,2024-06-22,Heineken,Heineken Chopp,Mercado Livre,4.9,1,"A avaliação é claramente positiva, pois expressa amor pelo produto. Não há elementos que indiquem sarcasmo, ironia ou polarity shift.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
Produto de excelente qualidade além do preço.,2024-06-22,Heineken,Heineken Chopp,Mercado Livre,4.9,1,"A avaliação destaca a excelente qualidade do produto, o que é positivo. Além disso, menciona o preço, o que pode indicar um bom custo-benefício, reforçando a avaliação positiva.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
"Simplesmente o curinga dos presentes, pode confiar!.",2024-06-22,Heineken,Heineken Chopp,Mercado Livre,4.9,1,"A avaliação destaca o produto como um curinga dos presentes, transmitindo confiança. Isso indica uma experiência positiva com o produto Heineken Chopp.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
Como sempre. Maravilhosa!.,2024-06-16,Heineken,Heineken Chopp,Mercado Livre,4.9,1,"A avaliação é claramente positiva, pois descreve a Heineken como maravilhosa. Não há indicações de sarcasmo, ironia ou polarity shift, apenas elogios diretos ao produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
E muito bom vale muito a pena.,2024-07-09,Heineken,Heineken Chopp,Mercado Livre,4.9,1,"A avaliação é claramente positiva, afirmando que o produto é muito bom e que vale a pena. Não há indícios de ironia, sarcasmo ou polarity shift, indicando uma opinião favorável em relação ao Heineken Chopp.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
Excelente.,2024-07-04,Heineken,Heineken Chopp,Mercado Livre,4.9,1,"A avaliação é claramente positiva ao utilizar a palavra excelente, indicando uma opinião favorável em relação ao produto Heineken Chopp.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
Bom.,2024-06-17,Heineken,Heineken Chopp,Mercado Livre,4.9,0,"A avaliação é neutra, pois apenas afirma Bom sem fornecer detalhes que indiquem uma opinião positiva ou negativa sobre o produto Heineken Chopp.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
A melhor.,2024-07-29,Heineken,Heineken Chopp,Mercado Livre,4.9,1,A avaliação é claramente positiva ao afirmar que a Heineken é a melhor. Essa afirmação indica uma opinião favorável em relação ao produto.,https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
Em termos de cerveja não a muito o falar! preço pago formidável. Indico com toda certeza!.,2024-07-27,Heineken,Heineken Chopp,Mercado Livre,4.9,1,"A avaliação destaca o preço pago como formidável e indica com toda certeza a recomendação do produto, o que caracteriza uma avaliação positiva.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
Muito bom de acordo com o informado.,2024-07-25,Heineken,Heineken Chopp,Mercado Livre,4.9,1,"A avaliação indica que o produto é muito bom, o que é positivo para a marca Heineken.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
Tufo ok.,2024-07-25,Heineken,Heineken Chopp,Mercado Livre,4.9,0,"A avaliação é neutra, pois não expressa claramente uma opinião positiva ou negativa sobre o produto Heineken Chopp. A expressão Tufo ok não fornece informações suficientes para determinar uma avaliação definitiva.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
Ótimo produto. Pena ser tão caro.,2024-07-24,Heineken,Heineken Chopp,Mercado Livre,4.9,0,"A avaliação começa de forma positiva ao elogiar o produto como ótimo, porém, em seguida, menciona o preço alto como um ponto negativo. Essa mistura de sentimentos positivos e negativos resulta em uma avaliação neutra.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
Bom custo x benefício.,2024-07-23,Heineken,Heineken Chopp,Mercado Livre,4.9,1,"A avaliação destaca um bom custo x benefício, o que é positivo para o produto Heineken Chopp.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
Bom!.,2024-07-23,Heineken,Heineken Chopp,Mercado Livre,4.9,0,"A avaliação Bom!. não fornece informações suficientes para determinar se é positiva ou negativa. Portanto, é classificada como neutra.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
Excelente. Preço muito bom.,2024-07-19,Heineken,Heineken Chopp,Mercado Livre,4.9,1,"A avaliação é claramente positiva, pois utiliza termos como excelente e preço muito bom. Isso indica uma experiência satisfatória com o produto Heineken Chopp.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
Excelente produto.,2024-07-17,Heineken,Heineken Chopp,Mercado Livre,4.9,1,"A avaliação é claramente positiva ao descrever o produto como excelente, indicando uma experiência satisfatória com o Heineken Chopp.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
Ex.,2024-07-12,Heineken,Heineken Chopp,Mercado Livre,4.9,1,"A avaliação sugere que a Heineken é preferida em relação à Skol, o que é positivo para a Heineken.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
Tudo de ótimo.,2024-07-09,Heineken,Heineken Chopp,Mercado Livre,4.9,1,"A avaliação é claramente positiva ao afirmar que tudo é ótimo, indicando uma experiência satisfatória com o produto Heineken Chopp.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
Bom custo benefício.,2024-07-08,Heineken,Heineken Chopp,Mercado Livre,4.9,1,"A avaliação menciona um bom custo benefício, o que é positivo para o produto Heineken Chopp.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB29454879?noIndex=true&access=view_all&modal=true&controlled=true
